country,industry,valid_tickers,div_yield_median,div_yield_mean,fcf_payout_median,fcf_cover_median,roe_median,net_debt_ebitda_median
CN,电信运营商,5,5.4,5.324,0.6585222436711341,1.518551589730961,0.10456,-0.528344506541838
CN,能源煤炭石油,6,4.915,5.041666666666667,1.659547151998828,0.6856389034232954,0.121754995,-0.40992825155060975
CN,国有大型银行,5,4.35,4.316,,,0.09077,
US,电信运营商,3,3.98,3.9,0.6499155700880137,1.5386613985330073,0.18177,3.3155187743639574
US,综合能源与中游管道,6,3.4450000000000003,3.9150000000000005,1.0394636771069685,1.067258391715179,0.115055002,0.720706949510666
US,公用事业,5,2.96,2.996,0.2979310404500126,3.3564814142545907,0.09916,5.798645195565298
